CREATE TABLE USERS (username varchar(255) PRIMARY KEY,password varchar(255),homeroom int,userlevel int,desc varchar(255),magicpoints int,staminapoints int,experiencepoints int,gender varchar(255),race varchar(255),class varchar(255),flags int);
INSERT INTO USERS VALUES ("test","teH0wLIpW0gyQ",1,1, "Test User",0,1000, 0,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("system","sy.AqC0U7RJpw",1,12,"System administrator",99999,99999,99999,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("baduser","baQdv.vyYwMNs",1,1, "Evil User",0,1000, 0,"male","Human","Warrior",0);

CREATE TABLE INVENTORY (name varchar(255) primary key,description varchar(255),attributes int,owner varchar(255));
INSERT INTO INVENTORY VALUES ("sword","A rusty sword",0,"test");
INSERT INTO INVENTORY VALUES ("torch","A unlit torch",0,"test");
INSERT INTO INVENTORY VALUES ("goldbar","A bar of gold",0,"test");
INSERT INTO INVENTORY VALUES ("goblet","A goblet",0,"system");
INSERT INTO INVENTORY VALUES ("matches","A box of matches",0,"system");
INSERT INTO INVENTORY VALUES ("goldcoin","A gold coin",0,"system");

CREATE TABLE RACES (name varchar(255) PRIMARY KEY,magic int,strength int,agility int,dexterity int,luck int,wisdom int,intelligence int,stamina int);
INSERT INTO RACES VALUES ("Human",12,12,12,6,0,8,10,100);
INSERT INTO RACES VALUES ("Dwarf",10,11,8,10,0,6,12,200);
INSERT INTO RACES VALUES ("Elf",12,15,14,12,12,18,6,300);
INSERT INTO RACES VALUES ("Halfling",8,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Sprite",6,10,15,10,10,12,5,20);
INSERT INTO RACES VALUES ("Orc",2,2,1,5,0,2,20,300);
INSERT INTO RACES VALUES ("Centaur",14,14,7,10,12,12,10,100);
INSERT INTO RACES VALUES ("WolfMan",10,7,9,7,0,8,11,110);
INSERT INTO RACES VALUES ("Dwarf",10,8,12,6,0,8,10,50);
INSERT INTO RACES VALUES ("Halfling",6,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Gnome",12,11,10,7,0,7,7,40);
INSERT INTO RACES VALUES ("Half-Giant",8,4,2,5,0,2,14,250);

CREATE TABLE CLASSES (name varchar(255) PRIMARY KEY);
INSERT INTO CLASSES VALUES ("Warrior");
INSERT INTO CLASSES VALUES ("Thief");
INSERT INTO CLASSES VALUES ("Mage");
INSERT INTO CLASSES VALUES ("Cleric");
INSERT INTO CLASSES VALUES ("Ranger");
INSERT INTO CLASSES VALUES ("Paladin");
INSERT INTO CLASSES VALUES ("Psionic");
INSERT INTO CLASSES VALUES ("Barbarian");
INSERT INTO CLASSES VALUES ("Hero");

CREATE TABLE BANS (ipaddress varchar(255) PRIMARY KEY,reason varchar(255));
INSERT INTO BANS VALUES("6.6.6.6","Test ban");

CREATE TABLE GENERATABLEOBJECTS (name varchar(255) PRIMARY KEY,description varchar(255),attackpoints int,generateprob int,staminapoints int,magicpoints int,attributes int,verb varchar(255),verbmessage varchar(255));
INSERT INTO GENERATABLEOBJECTS VALUES("bottle","A bottle of potion,drink labelled 'drink me'",100,20,100,0,0,"drink","You drink the potion and suddenly shrink");
INSERT INTO GENERATABLEOBJECTS VALUES("apple","An apple",0,50,300,0,0,"eat","You eat the apple and suddenly realize you are naked");
INSERT INTO GENERATABLEOBJECTS VALUES("pie","A pie",10,0,100,2,0,"eat","You eat the pie and belch");
INSERT INTO GENERATABLEOBJECTS VALUES("grapes","A bunch of grapes",10,0,100,2,0,"eat","You eat the grapes and hiccup");
INSERT INTO GENERATABLEOBJECTS VALUES("almonds","A bag of almonds",10,0,100,2,0,"eat","You eat the almonds and puke");
INSERT INTO GENERATABLEOBJECTS VALUES("jug","A jug of water",10,0,100,2,"drink",0,"You drink the jug of water and feel refreshed");

CREATE TABLE SPELLS (name varchar(255) PRIMARY KEY,spellpoints int,damage int,message varchar(255),level int,class varchar(255));
INSERT INTO SPELLS VALUES("sword",30,99999,"casts a sword spell",1,"warrior");
INSERT INTO SPELLS VALUES("parry",30,40,"casts a parry spell",1,"warrior");
INSERT INTO SPELLS VALUES("dirt kicking",4,5,"casts a dirt kicking spell",1,"warrior");
INSERT INTO SPELLS VALUES("dodge",8,5,"casts a odge spell",1,"warrior");
INSERT INTO SPELLS VALUES("stun",9,9,"casts a tun spell",1,"warrior");
INSERT INTO SPELLS VALUES("intimidate",7,9,"casts a ntimidate spell",1,"warrior");
INSERT INTO SPELLS VALUES("dual wield",8,10,"casts a ual wield spell",1,"warrior");
INSERT INTO SPELLS VALUES("hand to hand",8,11,"casts a and to hand spell",1,"warrior");
INSERT INTO SPELLS VALUES("fire",7,11,"casts a fire spell",1,"warrior");
INSERT INTO SPELLS VALUES("trip",12,casts a trip spell,"1",warrior,"");
INSERT INTO SPELLS VALUES("push",12,13,"casts a push spell",1,"warrior");
INSERT INTO SPELLS VALUES("sap",5,16,"casts a sap spell",1,"warrior");
INSERT INTO SPELLS VALUES("berserk",14,19,"casts a berserk spell",2,"warrior");
INSERT INTO SPELLS VALUES("scalp",6,20,"casts a scalp spell",2,"warrior");
INSERT INTO SPELLS VALUES("power grip",15,21,"casts a ower grip spell",2,"warrior");
INSERT INTO SPELLS VALUES("fourth attack",16,21,"casts a ourth attack spell",2,"warrior");
INSERT INTO SPELLS VALUES("hunt",14,17,"casts a unt spell",2,"warrior");
INSERT INTO SPELLS VALUES("punch",19,26,"casts a punch spell",2,"warrior");
INSERT INTO SPELLS VALUES("assault",22,29,"casts a assault spell",3,"warrior");
INSERT INTO SPELLS VALUES("uppercut",25,33,"casts a uppercut spell",3,"warrior");
INSERT INTO SPELLS VALUES("aim",26,35,"casts a aim spell",3,"warrior");
INSERT INTO SPELLS VALUES("blockexit",27,36,"casts a blockexit spell",4,"warrior");
INSERT INTO SPELLS VALUES("headbutt",28,37,"casts a headbutt spell",4,"warrior");
INSERT INTO SPELLS VALUES("retreat",29,38,"casts a retreat spell",4,"warrior");
INSERT INTO SPELLS VALUES("recon",29,39,"casts a recon spell",4,"warrior");
INSERT INTO SPELLS VALUES("butcher",30,40,"casts a butcher spell",4,"warrior");
INSERT INTO SPELLS VALUES("gouge",30,40,"casts a gouge spell",4,"warrior");
INSERT INTO SPELLS VALUES("second attack dual",31,41,"casts a second attack dual spell",4,"warrior");
INSERT INTO SPELLS VALUES("bashdoor",32,43,"casts a bashdoor spell",4,"warrior");
INSERT INTO SPELLS VALUES("survey",33,44,"casts a survey spell",4,"warrior");
INSERT INTO SPELLS VALUES("counter strike",34,45,"casts a counter strike spell",5,"warrior");
INSERT INTO SPELLS VALUES("stomp",34,45,"casts a stomp spell",5,"warrior");
INSERT INTO SPELLS VALUES("trophy",35,47,"casts a trophy spell",5,"warrior");
INSERT INTO SPELLS VALUES("camp",37,49,"casts a camp spell",5,"warrior");
INSERT INTO SPELLS VALUES("bodycheck",37,50,"casts a bodycheck spell",5,"warrior");
INSERT INTO SPELLS VALUES("cleave",41,55,"casts a cleave spell",6,"warrior");
INSERT INTO SPELLS VALUES("hammer",44,59,"casts a hammer spell",6,"warrior");
INSERT INTO SPELLS VALUES("death blow",45,60,"casts a death blow spell",6,"warrior");
INSERT INTO SPELLS VALUES("gate",50,67,"casts a gate spell",7,"warrior");
INSERT INTO SPELLS VALUES("locate object",50,67,"casts a locate object spell",7,"warrior");
INSERT INTO SPELLS VALUES("sanctuary",50,67,"casts a sanctuary spell",7,"warrior");
INSERT INTO SPELLS VALUES("summon",50,67,"casts a summon spell",7,"warrior");
INSERT INTO SPELLS VALUES("locate animal",50,67,"casts a locate animal spell",7,"warrior");
INSERT INTO SPELLS VALUES("locate corpse",50,67,"casts a locate corpse spell",7,"warrior");
INSERT INTO SPELLS VALUES("scrolls",50,67,"casts a scrolls spell",7,"warrior");
